Radial_Distance_mm,Radial_Dose_Function
21.6,0.0599999999999999
21.7,0.0533333333333334
21.8,0.0466666666666666
21.9,0.0400000000000001
22,0.0333333333333333
22.1,0.0266666666666666
22.2,0.02
22.3,0.0133333333333333
22.4,0.00666666666666676
22.5,0
